state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_outbreak),age(Kassala_outbreak),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
38220000,-27315.974834606226,-3133.5904659708194,-24182.384368635405,14.59258893974135,2003.4074110602587,128.15429693587998,0.8930905969673689,2017.1069094030327,3.7999748613013895,13.01542104131774,0.28258523267212937,0.25972415555559974,0.24528799448976094,0.21240261728250456,0.046028304539894614,7.521761243763478E-4,7.409244561078115E-4,6.51286242710798E-4,1.0436396402384747,0.03072903396741892,-24182.384368635405,-2621.559854121456,-515.0458788377201
38230000,-27297.169162048103,-3132.288244918953,-24164.88091712915,14.062255949945753,2003.9377440500543,123.75241028394235,0.6303318297056665,2017.3696681702943,3.85397212819626,12.773578202962023,0.2829399885763206,0.2617546285143679,0.24391910352853116,0.21138627938077487,0.09164515560242702,8.371622158608967E-4,0.0010740857056359694,7.104487904311134E-4,1.3028826365321093,0.07235227479075773,-24164.88091712915,-2621.559854121456,-513.5965519121877
38240000,-27300.07619623209,-3133.3001803551215,-24166.776015876967,14.556825922850404,2003.4431740771497,123.16431488915221,0.6988219128567362,2017.3011780871432,3.757118089997414,12.01005966824728,0.2839363301817176,0.2556627988492088,0.2470919239955171,0.213308946973551,0.20698114789388142,8.393314062444021E-4,9.245529250588391E-4,7.195426124640737E-4,1.2149255327535484,0.035409266288441245,-24166.776015876967,-2621.559854121456,-514.5217220034842
38250000,-27319.53168216929,-3143.4151657728116,-24176.11651639648,14.837317883285635,2003.1626821167144,130.06720929888382,0.6102365914583989,2017.3897634085415,4.362077464270319,10.46198413516338,0.28440096386842517,0.25792063664790005,0.2482182415736243,0.20946015791004502,0.10822084559436147,7.897925189458409E-4,9.222096595527893E-4,6.81318465649726E-4,1.252839865307804,0.012570100466192577,-24176.11651639648,-2621.559854121456,-525.0063923689903
38260000,-27299.267938650435,-3121.4275496518103,-24177.840388998626,14.897178259949078,2003.102821740051,125.68597518527439,0.6757905846970454,2017.324209415303,4.041090997821542,10.91237913147572,0.2910245925434392,0.2529591098174085,0.24764766064673122,0.2083686369924156,0.03575353885100178,8.371681743012414E-4,9.721943645796085E-4,7.092410326809833E-4,1.15355050479896,0.030412515124820082,-24177.840388998626,-2621.559854121456,-503.1121658657365
38270000,-27291.840429703694,-3121.724474953736,-24170.11595474996,14.129772109529128,2003.870227890471,123.51055155382781,0.6516396709468808,2017.348360329053,3.864181395556856,11.944184249805057,0.28058214245928226,0.257645339810238,0.2492670047391573,0.2125055129913168,0.05214777047237951,8.162754790564244E-4,7.450717506910481E-4,7.26632608532337E-4,0.9377400950655029,0.1586590343282261,-24170.11595474996,-2621.559854121456,-503.2567320360884
38280000,-27305.314024368505,-3114.9759886932266,-24190.33803567528,14.583292444788853,2003.4167075552111,124.81691410726123,0.741157634877023,2017.258842365123,3.4445982775845487,10.059361243563403,0.28484015859003736,0.2547927808128613,0.25280100676128336,0.2075660538358124,0.1540075734746413,8.973668299013527E-4,9.133811763112651E-4,7.248930550337445E-4,1.0852645021064613,0.025574411956171994,-24190.33803567528,-2621.559854121456,-496.69068238876605
38290000,-27302.50434197562,-3114.8223080897556,-24187.682033885863,15.108287430975434,2002.8917125690245,124.59518374781605,0.8827168259042687,2017.1172831740957,3.35592096314408,11.809675977429865,0.2868463411927601,0.25376785735414176,0.25813397664355037,0.20125182480954218,0.030805307225465935,8.544956041984178E-4,9.954498331239863E-4,7.142270958946038E-4,1.2397369924145047,-0.0118482010815215,-24187.682033885863,-2621.559854121456,-496.5353804723706
38300000,-27304.921206284605,-3125.3412937047387,-24179.579912579866,15.230663517202244,2002.7693364827978,127.30145072878207,0.7066929424717256,2017.2933070575282,3.8984464323887655,10.565623415879589,0.2799041068042914,0.2532846325836567,0.2523677189523455,0.2144435416597008,0.1315806589220066,8.338302530280839E-4,8.318300165009189E-4,6.758926514198469E-4,0.9986985154448683,0.043411232382005234,-24179.579912579866,-2621.559854121456,-506.9387526129059
38310000,-27336.619364839768,-3130.0361995638195,-24206.583165275948,14.527166317720837,2003.472833682279,127.19655726036532,1.2136517115922179,2016.7863482884077,3.904709439423178,11.100712046752802,0.2844920786913275,0.25301540053584204,0.24984319218397086,0.21264932858885405,0.11784340185462826,7.371453939814495E-4,6.295826571668405E-4,6.896724582158285E-4,0.8398932482087171,0.03792007215627426,-24206.583165275948,-2621.559854121456,-511.64062030004357
38320000,-27317.76094870402,-3130.3059262919783,-24187.455022412043,14.891401746879655,2003.1085982531204,128.7340056675745,1.769490341138577,2016.2305096588614,3.611867664338286,10.328605683264362,0.2890217379964416,0.255674163286588,0.2506136361304556,0.20469046258650925,0.1668458910709213,7.92889599570122E-4,6.957402553641112E-4,7.204998234294855E-4,0.8874475997365201,0.015395383822448238,-24187.455022412043,-2621.559854121456,-511.9866970247433
38330000,-27299.989967615787,-3116.191292405408,-24183.79867521038,14.776311280288237,2003.2236887197118,127.70997603487069,1.3515553974817562,2016.6484446025183,3.7558023148032844,10.959194573155072,0.2784507454688325,0.25350522375472256,0.2539690722116472,0.21407495856479217,0.15792873371566526,7.640885569794839E-4,7.794049176709096E-4,6.864750601032927E-4,1.0183306625499515,0.04025839121461638,-24183.79867521038,-2621.559854121456,-497.75855139412965
38340000,-27297.436797549766,-3116.2511516706672,-24181.185645879097,15.0154465107681,2002.984553489232,126.56971656546544,1.0128488853450535,2016.987151114655,3.652155853683366,11.8554163022027,0.28370433960213803,0.25480343006386313,0.24823130598020862,0.21326092435378463,0.09385305370616011,7.721659154852238E-4,8.201168841515163E-4,7.022211593342786E-4,1.0465301846337554,0.0027450912210430765,-24181.185645879097,-2621.559854121456,-497.81380944850895
