state,joint,prior,likelihood,treeModel.rootHeight,age(root),treeLength,tmrca(Kassala_2018),tmrca(Kassala_2019),age(Kassala_2018),age(Kassala_2019),constant.popSize,kappa,frequencies1,frequencies2,frequencies3,frequencies4,alpha,ucld.mean,ucld.stdev,meanRate,coefficientOfVariation,covariance,treeLikelihood,branchRates,coalescent
6450000,-27809.3565894824,-3264.529999221166,-24544.826590261233,16.160056833602127,2003.7933678239322,140.0772073672421,2.8821360662254487,1.4411039271863477,2017.0712885913088,2018.512320730348,4.3682399715854165,10.528450427069206,0.2790747520013596,0.2569155503006842,0.24828056525763534,0.21572913244032105,0.006216369637845435,6.791623135703016E-4,6.356713661343454E-4,6.586648271519484E-4,0.9325727176074187,0.1196441029079895,-24544.826590261233,-2720.7422526009486,-547.2505929163555
6460000,-27815.578409759164,-3271.4900862741238,-24544.08832348504,16.418048047884064,2003.5353766096503,142.98081334362686,3.012753914558577,1.5630464279149054,2016.9406707429757,2018.3903782296193,4.400881505954663,10.490011802311292,0.2892549256716826,0.25470693437497954,0.2486546431306954,0.20738349682264282,0.0379240181670342,6.835703386317859E-4,6.799152073226967E-4,6.55933438229413E-4,0.9880985070944324,0.1737598667257281,-24544.08832348504,-2720.7422526009486,-554.1509316694484
6470000,-27836.707558058326,-3281.8537144763623,-24554.853843581965,18.553435887097983,2001.3999887704363,151.99377133042694,2.777717158168578,1.5821356377281732,2017.1757074993657,2018.371289019806,4.825444450111439,12.050615475305454,0.28293924661081815,0.24745450044230427,0.25176212514346763,0.2178441278034103,0.13597979561096185,6.654421718165766E-4,6.320596762542351E-4,6.181439159210915E-4,0.9626607103447214,0.09925313944715343,-24554.853843581965,-2720.7422526009486,-564.002376535535
6480000,-27843.687620287936,-3265.925116757926,-24577.762503530008,16.852837096272197,2003.100587561262,143.17870568597476,2.7572020681031386,1.4059271509248419,2017.196222589431,2018.5474975066095,4.721536263021818,10.78003730583901,0.28127789646513857,0.26351493239582663,0.24309952501236928,0.21210764612666588,0.041436365767722735,6.988575555915792E-4,5.079307752518724E-4,6.390611026613968E-4,0.7992469609176032,0.07281505372891102,-24577.762503530008,-2720.7422526009486,-548.4453515226711
6490000,-27826.765117433963,-3277.6442262926466,-24549.120891141316,16.919564861225844,2003.0338597963084,145.91803063943829,2.9026207870154095,1.5204221122138608,2017.0508038705188,2018.4330025453203,4.480649431390855,10.766342563001466,0.2839308854543047,0.26381114198144684,0.24829840907863684,0.20395956348561184,0.02691721793869309,7.210618215295508E-4,5.724311884486526E-4,6.574619432603362E-4,0.8881180573181657,0.04007476492964753,-24549.120891141316,-2720.7422526009486,-560.2367459630049
6500000,-27826.243014346255,-3283.428886953898,-24542.814127392357,17.326306376400304,2002.627118281134,147.22331565147041,2.7095036556758534,1.4962573769151652,2017.2439210018583,2018.4571672806192,3.870957594982812,10.620457631565657,0.28361772093359633,0.2566823900196924,0.24789983188980413,0.21180005715690742,0.0713357084357939,6.907954237799639E-4,5.442009994244884E-4,6.571552216699159E-4,0.8218568787947912,-0.002275507696547844,-24542.814127392357,-2720.7422526009486,-566.1339297180281
6510000,-27818.146606531434,-3260.9189419267227,-24557.22766460471,16.177743086015514,2003.7756815715188,139.83137404436602,2.7120334325734654,1.4457472085247913,2017.2413912249608,2018.5076774490094,4.671836627767328,11.76939108270897,0.28429035391804336,0.2590784190416052,0.24558417904066202,0.21104704799968965,0.02949223456699758,7.818920250590153E-4,7.759225292273872E-4,7.075490749431734E-4,1.0588887661858897,-0.023958950490470057,-24557.22766460471,-2720.7422526009486,-543.2279141364753
6520000,-27820.083024424206,-3254.8159590524724,-24565.267065371732,16.248626261849257,2003.704798395685,138.3519364419164,3.004985050158959,1.5522386746399457,2016.9484396073753,2018.4011859828943,4.293114848655478,9.84916751058414,0.28188961166508875,0.2576201689713075,0.24708869647349183,0.2134015228901122,0.11429269269306652,8.116613846954572E-4,8.845964881666138E-4,7.003887734868578E-4,1.1697643569923102,0.07059924608151324,-24565.267065371732,-2720.7422526009486,-537.3476019593996
6530000,-27785.558251490776,-3244.0804589543295,-24541.477792536447,16.679728060261407,2003.2736965972729,135.5963381468123,2.708667453776022,1.3718961855012315,2017.2447572037581,2018.581528472033,3.5923444203352197,12.84825469305966,0.2862782529244781,0.2554983060741867,0.24340788974578317,0.21481555125555227,0.02634120708327454,7.310278633850412E-4,7.062495205961628E-4,6.847034207334963E-4,0.9956343537140414,0.08138012760560516,-24541.477792536447,-2720.7422526009486,-526.51472445492
6540000,-27765.651607411557,-3240.43837879073,-24525.213228620825,18.445703022686537,2001.5077216348477,136.01227837636486,2.5180567433345247,1.432781271180182,2017.4353679141998,2018.520643386354,3.493797982282825,9.760777372184686,0.2834130569241257,0.2516581718002359,0.2508694808906351,0.21405929038500354,0.09540319405975588,8.836513210008074E-4,0.001216051210284157,7.130812424614304E-4,1.5233766105142774,0.003437608834508365,-24525.213228620825,-2720.7422526009486,-523.17033604896
6550000,-27782.022293196223,-3243.9883269118795,-24538.033966284343,19.105083147550964,2000.8483415099834,141.52627179709705,2.665438266237902,1.4477788357549939,2017.2879863912963,2018.5056458217794,3.766390787603709,10.351634608491572,0.29387507480450104,0.2547108994111713,0.24238191654750685,0.20903210923682097,0.15008325199825653,7.740365279095188E-4,7.867735377855074E-4,6.745529845628707E-4,1.0986899937690027,-0.0034083824522119902,-24538.033966284343,-2720.7422526009486,-526.5258540083779
6560000,-27788.234981261307,-3248.085360725247,-24540.14962053606,16.703728329206598,2003.2496963283277,136.46701694547784,2.7423456582423404,1.3223795014218955,2017.2110789992919,2018.6310451561124,3.7164138765135566,9.810937627282803,0.28638143046278847,0.2569170012963938,0.2419839165581994,0.21471765168261858,0.03264142061293005,8.465948859240477E-4,8.917034920257493E-4,6.9363526621625E-4,1.1728076438300798,0.028973753860542902,-24540.14962053606,-2720.7422526009486,-530.9004610245945
6570000,-27757.480495354823,-3234.6462170879745,-24522.834278266848,16.797940237815716,2003.1554844197185,136.133322487291,3.046439693722207,1.286002425912684,2016.906984963812,2018.6674222316215,3.9603967985217925,10.34332303964248,0.2812978037951699,0.25463999755249755,0.2564184253691748,0.20764377328315797,0.022604068170054042,8.060254507237917E-4,0.0010743101190837947,6.828570738800014E-4,1.3740622392798205,0.0044546145169069625,-24522.834278266848,-2720.7422526009486,-517.349249478698
6580000,-27801.278563892414,-3239.3141384473297,-24561.964425445083,18.490901753873086,2001.4625229036612,140.68900172432444,2.9462698160177565,1.1947099445323042,2017.0071548415165,2018.7587147130018,3.9636581949876932,11.201113365071995,0.2849166021548262,0.2525198623318665,0.25941441314177915,0.20314912237152843,0.007093619634925624,8.590273372117026E-4,0.0010765798728112148,6.945688334471836E-4,1.3314709366660857,0.08804546028130013,-24561.964425445083,-2720.7422526009486,-521.8710054508872
6590000,-27755.628185828864,-3231.6703724805784,-24523.957813348286,17.114056390295413,2002.8393682672388,135.08103266540337,2.9849974766619067,1.5434292342423335,2016.9684271808724,2018.409995423292,3.5351520557612175,11.483282940265624,0.2880903783080643,0.256476325824116,0.25179635891582947,0.20363693695199064,0.009361025418132959,8.042190846027674E-4,9.347707987418841E-4,6.824509553535873E-4,1.2013032924341998,0.22111534970618832,-24523.957813348286,-2720.7422526009486,-514.3147642690275
6600000,-27768.854517606618,-3223.6982044927327,-24545.156313113886,16.378053446151856,2003.5753712113824,125.60854601380453,3.1059741460620836,1.5381739524109057,2016.847450511472,2018.4152507051233,3.7394040229087526,10.550235239270435,0.2845989103875969,0.25435099146142615,0.24715432566556964,0.21389577248540764,0.010388036262430385,8.116955373394429E-4,0.0010290703896663528,7.092466810131146E-4,1.3468634601757892,0.1731915972346768,-24545.156313113886,-2720.7422526009486,-506.4103838830045
6610000,-27763.093329262807,-3219.270044902346,-24543.82328436046,16.15031592262973,2003.8031087349045,125.65281915818267,2.762667493776846,1.2645234691839278,2017.1907571637573,2018.6889011883504,3.3546237208813348,11.236951689236223,0.2790557495283644,0.2619135973240029,0.24752570369545643,0.21150494945217657,0.1811667810295362,8.921398168263854E-4,0.0011241559114008647,7.397915404956788E-4,1.3489629602875972,0.20140369053630772,-24543.82328436046,-2720.7422526009486,-501.57268820795053
6620000,-27760.829263228756,-3208.2867259860973,-24552.542537242658,16.26704068248475,2003.6863839750495,126.883551043513,2.6248704938429377,1.6037971566910934,2017.3285541636913,2018.349627500843,3.3463683166488347,12.319722207234332,0.2892555066676301,0.25395146508019856,0.2469290235391446,0.209864004713027,0.022453674885451132,8.943574841068313E-4,0.0010687126677196553,7.516175119878019E-4,1.180628504816993,0.14298302658206521,-24552.542537242658,-2720.7422526009486,-490.73341933640387
6630000,-27726.293500147134,-3199.2519119086264,-24527.041588238506,16.263862522638284,2003.689562134896,123.21460156119268,2.3802420215918194,1.4271804963265613,2017.5731826359424,2018.5262441612076,3.3808334829746385,11.415785122965165,0.29316801433472933,0.25342933626244174,0.24705138361327103,0.20635126578955812,0.07180013430108846,0.0010398730459780811,0.0017520227522425688,7.878819609224735E-4,1.6392268666520864,0.21768325334659097,-24527.041588238506,-2720.7422526009486,-481.63097081581316
